Organizations,slogan,tech,topic,website,descripton,link,ideas
ArduPilot,World's most advanced autonomous vehicle software,"python, lua, c++, pixhawk","robotics, ai, Drone, autonomous vehicle, unmanned vehicle",https://ardupilot.org/,"World's most advanced autonomous vehicle software
ArduPilot is the world's most widely used open source flight code software for unmanned autonomous vehicles including planes, multicopters, helicopters, cars, boats, submarines, blimps, antenna trackers and much more. Written primarily in C++, ArduPilot supports over 100 different types of autopilot hardware including the well known Pixhawk autopilot. Our team motto, ""Versatile, Trusted, Open"" reflects our team's aim to provide high quality autopilot software that reliably supports a huge variety of frames, sensors and use cases. The software is open but so is the team, always welcoming of new contributors whether they be software developers, wiki documentors, testers or users.",https://ardupilot.org/dev/docs/gsoc.html,https://ardupilot.org/dev/docs/gsoc-ideas-list.html
AsyncAPI,Building the future of Event-Driven Architectures,"javascript, java, go, typescript, RAML","web, api, cloud, Architectures",https://www.asyncapi.com/,"Building the future of Event-Driven Architectures
AsyncAPI is an Open-Source tool to easily build and maintain your event-driven architecture. All are powered by the AsyncAPI specification, the industry standard for defining asynchronous APIs.",https://github.com/asyncapi/community/blob/master/CONTRIBUTING.md,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2025/asyncapi-gsoc-ideas-page.md
BeagleBoard,Open hardware computing for educators and makers,"linux, fpga, risc-v, dsp, Zephyr RTOS","robotics, iot, ai, software defined radio, Personal Server",https://www.beagleboard.org,"Open hardware computing for educators and makers
Enabling individuals to define the connected devices in their lives, BeagleBoard.org is the open-source, community-driven hardware precursor to Raspberry Pi, continuing to improve performance, access and openness for embedded development. The community is diverse with many professional developers utilizing the open source designs to build production solutions. Supported by a non-profit foundation, the community seeks to improve access to technology for making embedded devices using open source software and hardware. On-going developments include open designs around DSP/AI/ML accelerators, RISC-V cores, FPGA-based open hardware developement, software-defined radios, robotics/motor control, privacy-oriented personal servers, musical instruments, lighting displays, and open standards that simplify and clarify embedded systems technology.",https://bbb.io/gsoc,https://gsoc.beagleboard.io/ideas/
Blender Foundation,The Freedom to Create,"c, python, opengl, c++, vulkan","games, graphics, 3d, rendering, animation",https://www.blender.org,"The Freedom to Create
Blender is a free and open source 3D creation suite, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games. Blender is being made by 100s of active volunteers from all around the world; by studios and individual artists, professionals and hobbyists, scientists and students, vfx experts and animators, and so on. All of them are united by an interest to have access to a fully free/open source 3D creation pipeline. Blender Foundation supports and facilitates these goals - even employs a staff for that - but fully depends on the online community to achieve it.",https://developer.blender.org/docs/programs/gsoc/,https://developer.blender.org/docs/programs/gsoc/ideas/
BRL-CAD,3D CAD & other computer-aided tech (CAx),"python, c/c++, opengl, opencl, scripting","geometry, 2d/3d graphics, ray tracing, high-performance computing, deep neural net rendering",https://opencax.github.io/,"3D CAD & other computer-aided tech (CAx)
This is the place to be if you love computer graphics. We do 2D/3D modeling, 3D printing, solid geometry, design, and more. Depending on the project, you have the opportunity to work with C/C++, Python, OpenGL, OpenCL, Qt, Javascript, and more... Help us develop open source computer-aided technologies (CAx)!


We operates as an umbrella organization with several CAx communities including:


- OpenSCAD is a solid 3D modeler with a rich syntax for programmable geometry.
- LibreCAD is a 2D modeling system specializing in blueprint-style drawings and draftings.
- IfcOpenShell is a library for working with standard IFC building model data.
- BRL-CAD is a solid modeling suite with conversion and advanced solid ray tracing features.
- Manifold is a solid geometry mesh processing library.

We want to select at least one student for each, so feel free to ask us where to start.",https://opencax.github.io/gsoc_checklist.html,https://github.com/opencax/GSoC/issues?q=is%3Aissue+is%3Aopen+label%3A%22GSoC+2025%22
cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,"mysql, javascript, java, react, typescript","genomics, cancer, bioinformatics, big data, precision medicine",https://www.cbioportal.org/,"Aid discovery in complex cancer genomics data
The cBioPortal for Cancer Genomics is a resource designed to provide broad community access to cancer genomic data. It provides a unique user­-friendly and ""biology­-centric computational user interface"", with the goal of making genomic data more easily accessible to translational scientists, biologists, and clinicians. The interface was explicitly built and continues to evolve with careful usability studies involving multiple biological and clinical users, and an active and engaged user base. The public instance of cBioPortal (https://cbioportal.org/) is now one of the most popular online resources for cancer genomics data and attracts more than 4,000 unique visitors (cancer researchers and clinicians) per day. The two papers documenting the cBioPortal Cerami et al. Cancer Discov. 2012 & Gao et al. Sci. Signal. 2013 have been cited more than 5,600 and 5,100 times, respectively, since their publication. There are more than 30 actively used cBioPortal instances in hospitals, universities, pharmaceutical companies, and other institutes all over the globe. We are a group of software engineers, bioinformaticians, and cancer biologists building software solutions for precision medicine for cancer patients. Our overall goal is to build infrastructure to support clinical decisions for personalized cancer treatment by utilizing “big data” of cancer genomics and patient clinical profiles. Our multi-institutional team currently has more than 30 active members, primarily from Memorial Sloan Kettering Cancer Center, the Dana-Farber Cancer Institute, Princess Margaret Cancer Centre, Children's Hospital of Philadelphia, and The Hyve, a bioinformatics company from the Netherlands.",https://github.com/cBioPortal/GSoC,https://github.com/cBioPortal/gsoc/issues?q=is%3Aissue%20state%3Aopen%20label%3AGSoC-2025
CCExtractor Development,"TV, Rust, Flutter, Linux, VR and C. In any order.","c, linux, rust, flutter","vr, linux, video, subtitles, mobile",https://www.ccextractor.org,"TV, Rust, Flutter, Linux, VR and C. In any order.
CCExtractor Development is the creator of the de-facto captions extraction tool - CCExtractor. It is the one tool that is free, portable, open source and community managed that can take a recording from a TV show and generate an external subtitle file for it. If you regularly watch content with subtitles you download from fan sites - you should know that the source file is most likely generated by CCExtractor. If you are a student in a university that uses subtitles for natural language study, you should know that most likely we are involved somehow. While we already support subtitles from North America, Europe, Australia and more, our world map is not yet complete. We are actively looking for students that want to help us fill the gaps. We also want to automate many of the processes that are currently done manually, such as achieving perfect sync, our media file management. In addition to continuously evolve our core tool, we have a growing number of new projects: support, AI, rclone, cloud, flutter, peer-to-peer and a few more that are starting to take shape. The best part is - students have flexibility of choosing projects from a wide range of topics & technologies and even propose their own. We provide exceptional resources for students. Read more about the perks on our website. We’re very excited to take part in GSoC for the 9th time. Most of our past students are still involved and are active in the community, which simply goes on to show how friendly and approachable is the environment. If you want to be a part of such community and help achieve our goals, come join our Slack group or mailing list!",https://ccextractor.org/docs/ideas_page_for_summer_of_code_2025/#your-proposal,https://ccextractor.org/docs/ideas_page_for_summer_of_code_2025/
Center for Translational Data Science,Develop translational data science.,"golang, docker, postgres, gpu, LLMs","machine learning, artificial intelligence, devops, MLOps, Data Meshes",https://ctds.uchicago.edu,"Develop translational data science.
We develop and operate large-scale data platforms to support research in topics of societal interest, including cancer, cardiovascular disease, inflammatory bowel disease (IBD), birth defects, veterans’ health, pain management, opioid use disorder, and environmental science. We also develop new machine learning and AI algorithms over the data in our platforms.",https://ctds.uchicago.edu,https://docs.google.com/document/d/1kiEDB6tw2xD8Qj3uxpSELjazW35llHM1a9Nt_LQKwHw/edit?tab=t.0#heading=h.culkmufwpils
Ceph,The Future of Storage,"python, javascript, c++","distributed systems, Software-Defined-Storage",https://ceph.io/en/,"The Future of Storage
An open-source storage platform that implements storage on a single distributed computer cluster and provides a 3-in-1 interface for object-, block- and file-level storage.",https://docs.ceph.com/en/latest/dev/developer_guide/,https://ceph.io/en/developers/google-summer-of-code/
CERN HSF,Umbrella for Particle Physics-related projects,"python, c/c++, data analysis, artificial intelligence, container orchestration","machine learning, big data, algorithmics, particle physics, Performance Optimisation",http://hepsoftwarefoundation.org/activities/gsoc.html,"Umbrella for Particle Physics-related projects
CERN-HSF (High-Energy Physics Software Foundation) is the umbrella organization for high-energy physics-related projects in GSoC. The HEP Software Foundation (http://hepsoftwarefoundation.org/) facilitates the coordination of common international efforts in high-energy physics software and computing. CERN (European Organization for Nuclear Research, https://home.cern) has participated in GSoC since 2011 as the CERN-SFT group, which provides common software for CERN's experiments. In 2017, the program expanded to include many software projects from the whole field of high-energy physics. The vast majority of our GSoC projects do not require any physics knowledge. The experiments at CERN, such as the Large Hadron Collider, the world’s largest and most powerful particle accelerator (http://home.cern/topics/large-hadron-collider) try to answer fundamental questions about the Universe. For example, what is the nature of mass? What are the elementary building blocks of the Universe? What was the early Universe like? What is the nature of dark matter and dark energy? Why is there an asymmetry between matter and antimatter? In 2012, LHC experiments announced the discovery of a new particle, the Higgs Boson, that helps explain how particles obtain mass. Also, CERN is the birthplace of the World Wide Web. Today, particle physicists are working on analyzing the data from the experiments to study the properties of the newly discovered particle and to search for new physics, such as dark matter or extra dimensions. This requires a lot of sophisticated software. The open-source high-energy physics projects to which students can contribute during GSoC span many high-energy physics software projects: data analysis, detector and accelerator simulation, event reconstruction, data management and many others. We look forward to your contributions!",https://hepsoftwarefoundation.org/activities/gsoc.html#for-students,https://hepsoftwarefoundation.org/gsoc/2025/summary.html
CGAL Project,C++ library of computational geometry,"c++, qt","geometry, mesh processing, computation geometry, geometry processing",https://www.cgal.org,"C++ library of computational geometry
CGAL is a software library that offers a number of reliable geometric data structures and algorithms. CGAL components operate in 2D and 3D, and sometime in arbitrary dimensions. Examples of components include convex hulls, convex decomposition, Delaunay triangulations, Voronoi diagrams, polygonal surface mesh data-structures, mesh generation, Boolean operations, envelope computations, intersection detection, surface reconstruction, and subdivision surfaces. CGAL is used in a variety of application domains such as CAD/CAM (computer aided design and modeling), GIS (geographic information systems), geophysics, image processing, molecular biology, robotics, motion planning, and graphics. CGAL is written in C++ and rigorously adheres to the generic-programming paradigm. CGAL became an Open Source project in 2003. Most of CGAL is under the GPL v3+ license, and some core parts are under the LGPL v3+. The semi-annual releases have currently about 10,000 downloads. CGAL is commercially supported by the spin-off company GeometryFactory.",https://github.com/CGAL/cgal/wiki/Project-Ideas#information-candidates-should-supply,https://github.com/CGAL/cgal/wiki/Project-Ideas
CHAOSS,Community Health Analytics Open Source Software,"python, postgresql, javascript, machine learning, metrics","open source software metrics, software sustainability, community building, security and software bill of materials",https://chaoss.community,"Community Health Analytics Open Source Software
The importance of open source software is no longer in question and its importance raises important questions about how we understand the health of the open-source projects we rely on. Unhealthy projects can have negative impacts on the community involved in the project as well as organizations that rely on such projects. In response, people want to know more about the open-source projects they are engaged with. For example: 1. Open source contributors want to know where they should place their efforts and know that they are making an impact. 2. Open source communities want to attract new members, ensure consistent quality, and reward valuable members. 3. Open source companies want to know which communities to engage with, communicate the impact the organization has on the community, and evaluate the work of their employees within open source. Open source foundations want to identify and respond to community needs, evaluate the impact of their work, and promote communities. In response to these issues, the CHAOSS project develops metrics, practices, and software for making open source project health more understandable. By building measures of open source project health, CHAOSS seeks to improve the transparency and actionability of open source project health so that relevant stakeholders can make more informed decisions about open source project engagement. The project goals are to: 1. Establish standard implementation-agnostic metrics for measuring community health 2. Produce integrated open source software for analyzing software community development 3. Develop programs for the deployment of metrics not attainable through online trace data Build reproducible project health reports",https://github.com/chaoss/augur/blob/main/gsoc-interest.md,https://github.com/chaoss/augur/blob/main/gsoc-interest.md
Checker Framework,Prevent programming errors via simple verification,"java, compilers, Verification, formal methods, type systems","software engineering, verification, bug finding, programmer productivity, type systems",https://checkerframework.org/,"Prevent programming errors via simple verification
We are a group of developers who are passionate about code quality. We have built an innovative lightweight verification tool called the [Checker Framework](https://checkerframework.org/). The Checker Framework helps you prevent bugs at development time, before they escape to production. It is based on the idea of _pluggable type-checking_. Pluggable type-checking augments a programming language's built-in type system with a more powerful, expressive one. Java's type system prevents some bugs, such as `int count = ""hello"";`. However, it does not prevent other bugs, such as null pointer dereferences, concurrency errors, disclosure of private information, incorrect internationalization, out-of-bounds indices, etc. The Checker Framework enables you to create a more powerful type system and use it in place of Java's. The more powerful type system is not just a bug-finding tool: it is a verification tool that gives a guarantee that no errors (of certain types) exist in your program. Even though it is powerful, it is easy to use. It follows the standard typing rules that programmers already know, and it fits into their workflow. We have created around 20 [new type systems](https://checkerframework.org/manual/#introduction), and other people have created [many more](https://checkerframework.org/manual/#third-party-checkers). The Checker Framework is popular: it is successfully used on hundreds of projects at Amazon, Google, Meta, Uber, on Wall Street, and in other companies from big to small. It it attractive to programmers who care about their craft and the quality of their code. The Checker Framework is the motivation for Java's type annotations feature. Talks on it have received multiple awards at conferences such as JavaOne. With this widespread use, there is a need for people to help with the project: everything from bug fixes, to new features, to case studies, to IDE integration. We welcome your contribution! Please see our [ideas list](https://rawgit.com/typetools/checker-framework/master/docs/developer/new-contributor-projects.html) for [how to get started](https://rawgit.com/typetools/checker-framework/master/docs/developer/new-contributor-projects.html#get-started) and [how to ask questions](https://rawgit.com/typetools/checker-framework/master/docs/developer/new-contributor-projects.html#ask-questions).",https://rawgit.com/typetools/checker-framework/master/docs/developer/new-contributor-projects.html,https://rawgit.com/typetools/checker-framework/master/docs/developer/new-contributor-projects.html
checkstyle,Helps to adheres of Java coding standard,"java, antlr, artificial-intelligence","static code analysis‎, code review tool, coding standards, coding conventions, artificial-intelligence",https://checkstyle.org,"Helps to adheres of Java coding standard
Checkstyle is a development tool to help programmers write Java code that is easy to read and adheres to a coding standard. Our utility automates the process of checking Java code to spare humans of this boring (but important) task. This makes it ideal for projects that want to enforce a coding standard. Each and every check also forces our users who are not familiar with these standards to read them and makes them think about why these standards exist.",https://github.com/checkstyle/checkstyle/blob/master/.github/GSOC.md,https://github.com/checkstyle/checkstyle/wiki/Checkstyle-GSoC-2025-Project-Ideas
Chromium,"Fast, seamless, safe, and reliable web for all","python, javascript, java, c++, git","web, browser, operating-system",https://chromium.org,"Fast, seamless, safe, and reliable web for all
The Chromium projects include Chromium and Chromium OS, the open-source projects behind the Google Chrome browser and Google Chrome OS, respectively. Chromium is an open-source browser project that aims to build a safer, faster, and more stable way for all users to experience the web. Chromium OS is an open-source project that aims to provide a fast, simple, and more secure computing experience for people who spend most of their time on the web.",https://docs.google.com/document/d/1IOj4hSdPl8h1-8zYK_Gt3OxA0R44SLbmr-ZH3f9yDXM/edit?usp=sharing,https://docs.google.com/presentation/d/1ozDiULkf2Gi4HH1XA_Ad9O7rQpP9SP0yPEs_dpcBZKM/edit#slide=id.ge956d2a9e5_0_661
CircuitVerse,Build and learn logic circuits in the cloud!,"javascript, ruby, rails, canvas, vue","education, web, simulation, pedagogy, digital logic design",http://circuitverse.org/,"Build and learn logic circuits in the cloud!
CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to create, share and learn digital circuits. It can run on almost any device without the need for installing any software. The platform has been designed for use by students, professionals and hobbyists alike. The vision is to develop a community around the platform that will aid students to self-learn digital logic design. The platform is currently used by several universities worldwide. Apart from the simulator, users can create, learn, collaborate and share their work. Teachers can create groups and host assignments on the platform. The platform’s impact has been more evident than ever in the Covid 19 pandemic as CircuitVerse enabled schools and colleges to move their courses online.",https://docs.google.com/document/d/1oeYPAuqWxeC79d-R5I9uFJywQJv4ooO4obF4pwifyTY/edit,https://github.com/CircuitVerse/CircuitVerse/wiki/GSoC'25-Project-List
CloudCV,Building platforms for reproducible AI Research,"python, django, docker, angularjs, aws","machine learning, artificial intelligence, computer vision, deep learning, AI/ML",https://cloudcv.org/,"Building platforms for reproducible AI Research
CloudCV is a young open source cloud platform started in 2013 by students and faculty from Machine Learning and Perception Lab at Virginia Tech (now at Georgia Tech) with the aim to make AI research more reproducible. At CloudCV, we are building tools that enable researchers to build, compare and share state-of-the-art algorithms. We believe that one shouldn't have to be an AI expert to have access to cutting edge vision algorithms. Likewise, researchers shouldn't have to worry about building a service around their deep learning models to showcase and share it with others.",https://github.com/Cloud-CV/GSoC-Ideas/wiki/GSOC-2025-Proposal-Template,https://gsoc.cloudcv.org/
CNCF,Building sustainable ecosystems for cloud native,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",https://cncf.io,"Building sustainable ecosystems for cloud native
Cloud Native Computing Foundation (CNCF) serves as the vendor-neutral home for many of the fastest-growing open source projects, including Kubernetes, Prometheus, and Envoy.",https://github.com/cncf/mentoring,https://github.com/cncf/mentoring/blob/main/programs/summerofcode/2025.md
CRIU,Chekpoint/Restore for Linux tasks and containers,"c, python, linux, go","cloud, containers, Checkpoint/Restore",https://criu.org,"Chekpoint/Restore for Linux tasks and containers
CRIU (stands for Checkpoint/Restore In Userspace), is a Linux software. It can freeze a running container (or an individual application) and checkpoint its state to disk. The data saved can be used to restore the application and run it exactly as it was during the time of the freeze. Using this functionality, application or container live migration, snapshots, remote debugging, and many other things are now possible. CRIU is packaged for all leading Linux distributions and it is integrated wit lots of popular projects such as Docker, Podman, LXC/LXD, OpenVZ, runc, open-mpi and others",https://github.com/checkpoint-restore/criu/blob/criu-dev/CONTRIBUTING.md,https://criu.org/Google_Summer_of_Code_Ideas
D Language Foundation,"Write fast, read fast, and run fast.","linux, make, d, windows, C\C++","operating systems, programming languages, algorithms, data structures, optimizations",https://dlang.org/,"Write fast, read fast, and run fast.
The D Language Foundation manages the D programming language and its entire ecosystem.",https://dlang.github.io/GSoC/#become-a-dlang-gsocc-contributor,https://dlang.github.io/GSoC/
Dart,Dart is a client language for apps on any platform,"flutter, dart","programming languages, mobile apps",https://dart.dev,"Dart is a client language for apps on any platform
The Dart language gives you a fast developer experience and works on any platform. Dart powers hot reload enabling you to make a code change and instantly see results in your running app, and compiles to ARM and x64 machine code enabling quick app startup times for mobile, desktop and the web. Dart powers Flutter, Google’s UI toolkit for building beautiful, natively compiled applications for mobile, web, and desktop from a single codebase.",https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://github.com/dart-lang/sdk/blob/main/docs/gsoc/Dart-GSoC-2025-Project-Ideas.md
Data for the Common Good,Connect. Share. Discover.,"python, javascript, kubernetes, reactjs, terraform","web, health, data, infrastructure, software",https://commons.cri.uchicago.edu,"Connect. Share. Discover.
Data for the Common Good is dedicated to building communities, platforms, and ecosystems that maximize the potential of data to drive discovery and improve human health. Headquartered in the Department of Pediatrics at the University of Chicago, our team of experts works with collaborators all over the world to connect and share useful, high-quality data between institutions, groups, and countries to increase opportunities for discovery.",https://docs.pedscommons.org/GSoC/proposal,https://docs.pedscommons.org/GSoC/ideas
DBpedia,Global and Unified Access to Knowledge Graphs.,"python, javascript, java, scala, rdf","machine learning, semantic web, linked data, knowledge graph, largelanguagemodel",https://www.dbpedia.org/,"Global and Unified Access to Knowledge Graphs.
DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web. It allows for a global and unified access to Knowledge Graphs.",https://docs.google.com/document/d/e/2PACX-1vQA3I-8JnxH78UOyVhVy1cpDCxwWvqs8BCN9YsR8UqOBiA-OigrSFd9SvTd2AuWdko1TSPtjip6NM65/pub,https://forum.dbpedia.org/tag/gsoc2025-ideas
Debian,The Universal Operating System,"python, java, perl, c++, rust","ai, CI/CD, autopkgtest, raspberrypi_builds, mobian",https://debian.org,"The Universal Operating System
The Debian Project is an association of Free Software developers who volunteer their time and effort in order to produce and maintain a completely free operating system Debian. Since its launch, the Debian project has grown to comprise more than 1,000 members with official developer status, alongside many more volunteers and contributors. Today, Debian encompasses over 50,000 packages of free, open source applications and documentation.",https://wiki.debian.org/SummerOfCode2025,https://wiki.debian.org/SummerOfCode2025/Projects
DeepChem,Democratize AI for drug discovery.,"python, numpy, pytorch, HuggingFace","artificial intelligence, chemistry, biology, materials science, Drug Discovery",https://www.deepchem.io,"Democratize AI for drug discovery.
We democratize access to AI tools for drug discovery and other scientific applications of deep learning more broadly. We also maintain a collection of scientific datasets for benchmarking and building new deep learning architectures along with an extensive open source collection of scientific machine learning tutorials. DeepChem has a strong educational component and partners with a broad range of academic and governmental institutions.",https://forum.deepchem.io/t/gsoc-proposal-guidelines-2024/1102,https://forum.deepchem.io/t/deepchem-gsoc-2025-project-ideas/1568
